Question_ID,first_output,second_output,compare_result
54,output1,output7,1
54,output2,output7,2
54,output3,output7,2
54,output4,output7,2
54,output5,output7,2
54,output6,output7,2
205,output1,output7,0
205,output2,output7,2
205,output3,output7,0
205,output4,output7,0
205,output5,output7,0
205,output6,output7,0
218,output1,output7,2
218,output2,output7,1
218,output3,output7,2
218,output4,output7,0
218,output5,output7,0
218,output6,output7,0
245,output1,output7,0
245,output2,output7,2
245,output3,output7,0
245,output4,output7,1
245,output5,output7,2
245,output6,output7,0
261,output1,output7,0
261,output2,output7,1
261,output3,output7,0
261,output4,output7,2
261,output5,output7,0
261,output6,output7,0
263,output1,output7,1
263,output2,output7,1
263,output3,output7,1
263,output4,output7,1
263,output5,output7,1
263,output6,output7,1
356,output1,output7,2
356,output2,output7,1
356,output3,output7,2
356,output4,output7,0
356,output5,output7,0
356,output6,output7,0
376,output1,output7,0
376,output2,output7,0
376,output3,output7,2
376,output4,output7,1
376,output5,output7,2
376,output6,output7,0
459,output1,output7,0
459,output2,output7,0
459,output3,output7,1
459,output4,output7,1
459,output5,output7,1
459,output6,output7,1
543,output1,output7,0
543,output2,output7,0
543,output3,output7,2
543,output4,output7,2
543,output5,output7,0
543,output6,output7,0
570,output1,output7,0
570,output2,output7,0
570,output3,output7,0
570,output4,output7,0
570,output5,output7,0
570,output6,output7,0
585,output1,output7,2
585,output2,output7,2
585,output3,output7,2
585,output4,output7,0
585,output5,output7,0
585,output6,output7,1
646,output1,output7,2
646,output2,output7,1
646,output3,output7,0
646,output4,output7,1
646,output5,output7,1
646,output6,output7,0
654,output1,output7,0
654,output2,output7,0
654,output3,output7,0
654,output4,output7,0
654,output5,output7,2
654,output6,output7,0
713,output1,output7,1
713,output2,output7,1
713,output3,output7,1
713,output4,output7,1
713,output5,output7,1
713,output6,output7,0
760,output1,output7,0
760,output2,output7,2
760,output3,output7,2
760,output4,output7,0
760,output5,output7,0
760,output6,output7,2
768,output1,output7,1
768,output2,output7,2
768,output3,output7,0
768,output4,output7,1
768,output5,output7,1
768,output6,output7,2
793,output1,output7,1
793,output2,output7,2
793,output3,output7,2
793,output4,output7,1
793,output5,output7,0
793,output6,output7,2
828,output1,output7,2
828,output2,output7,2
828,output3,output7,2
828,output4,output7,2
828,output5,output7,2
828,output6,output7,2
838,output1,output7,1
838,output2,output7,2
838,output3,output7,2
838,output4,output7,2
838,output5,output7,1
838,output6,output7,1
840,output1,output7,2
840,output2,output7,1
840,output3,output7,2
840,output4,output7,2
840,output5,output7,1
840,output6,output7,1
913,output1,output7,2
913,output2,output7,2
913,output3,output7,0
913,output4,output7,2
913,output5,output7,0
913,output6,output7,0
1023,output1,output7,1
1023,output2,output7,0
1023,output3,output7,2
1023,output4,output7,0
1023,output5,output7,0
1023,output6,output7,1
1144,output1,output7,0
1144,output2,output7,1
1144,output3,output7,1
1144,output4,output7,0
1144,output5,output7,1
1144,output6,output7,1
1274,output1,output7,1
1274,output2,output7,2
1274,output3,output7,1
1274,output4,output7,2
1274,output5,output7,1
1274,output6,output7,0
1308,output1,output7,1
1308,output2,output7,2
1308,output3,output7,1
1308,output4,output7,2
1308,output5,output7,2
1308,output6,output7,1
1333,output1,output7,1
1333,output2,output7,1
1333,output3,output7,2
1333,output4,output7,2
1333,output5,output7,0
1333,output6,output7,2
1339,output1,output7,0
1339,output2,output7,2
1339,output3,output7,0
1339,output4,output7,0
1339,output5,output7,0
1339,output6,output7,0
1402,output1,output7,1
1402,output2,output7,1
1402,output3,output7,1
1402,output4,output7,2
1402,output5,output7,2
1402,output6,output7,1
1576,output1,output7,1
1576,output2,output7,1
1576,output3,output7,1
1576,output4,output7,1
1576,output5,output7,1
1576,output6,output7,1
1629,output1,output7,0
1629,output2,output7,0
1629,output3,output7,0
1629,output4,output7,2
1629,output5,output7,0
1629,output6,output7,0
1717,output1,output7,0
1717,output2,output7,2
1717,output3,output7,0
1717,output4,output7,2
1717,output5,output7,0
1717,output6,output7,1
1729,output1,output7,0
1729,output2,output7,0
1729,output3,output7,2
1729,output4,output7,0
1729,output5,output7,2
1729,output6,output7,1
1764,output1,output7,2
1764,output2,output7,2
1764,output3,output7,0
1764,output4,output7,0
1764,output5,output7,0
1764,output6,output7,0
1792,output1,output7,2
1792,output2,output7,0
1792,output3,output7,1
1792,output4,output7,1
1792,output5,output7,0
1792,output6,output7,0
1800,output1,output7,1
1800,output2,output7,1
1800,output3,output7,0
1800,output4,output7,0
1800,output5,output7,1
1800,output6,output7,1
1806,output1,output7,0
1806,output2,output7,0
1806,output3,output7,0
1806,output4,output7,0
1806,output5,output7,0
1806,output6,output7,0
1829,output1,output7,1
1829,output2,output7,0
1829,output3,output7,2
1829,output4,output7,0
1829,output5,output7,0
1829,output6,output7,0
1867,output1,output7,0
1867,output2,output7,0
1867,output3,output7,0
1867,output4,output7,0
1867,output5,output7,0
1867,output6,output7,2
1877,output1,output7,0
1877,output2,output7,0
1877,output3,output7,0
1877,output4,output7,0
1877,output5,output7,0
1877,output6,output7,0
1906,output1,output7,1
1906,output2,output7,0
1906,output3,output7,0
1906,output4,output7,0
1906,output5,output7,0
1906,output6,output7,1
1908,output1,output7,1
1908,output2,output7,1
1908,output3,output7,0
1908,output4,output7,2
1908,output5,output7,0
1908,output6,output7,0
2006,output1,output7,2
2006,output2,output7,0
2006,output3,output7,0
2006,output4,output7,0
2006,output5,output7,0
2006,output6,output7,0
2007,output1,output7,1
2007,output2,output7,1
2007,output3,output7,1
2007,output4,output7,0
2007,output5,output7,1
2007,output6,output7,2
2167,output1,output7,0
2167,output2,output7,0
2167,output3,output7,0
2167,output4,output7,0
2167,output5,output7,0
2167,output6,output7,0
2188,output1,output7,0
2188,output2,output7,0
2188,output3,output7,0
2188,output4,output7,0
2188,output5,output7,0
2188,output6,output7,0
2194,output1,output7,2
2194,output2,output7,0
2194,output3,output7,0
2194,output4,output7,0
2194,output5,output7,0
2194,output6,output7,0
2212,output1,output7,1
2212,output2,output7,0
2212,output3,output7,0
2212,output4,output7,2
2212,output5,output7,2
2212,output6,output7,2
2254,output1,output7,2
2254,output2,output7,0
2254,output3,output7,0
2254,output4,output7,0
2254,output5,output7,0
2254,output6,output7,0
2277,output1,output7,0
2277,output2,output7,0
2277,output3,output7,0
2277,output4,output7,0
2277,output5,output7,0
2277,output6,output7,0
2278,output1,output7,0
2278,output2,output7,2
2278,output3,output7,0
2278,output4,output7,0
2278,output5,output7,0
2278,output6,output7,0
2279,output1,output7,2
2279,output2,output7,0
2279,output3,output7,0
2279,output4,output7,0
2279,output5,output7,0
2279,output6,output7,2
2371,output1,output7,0
2371,output2,output7,2
2371,output3,output7,0
2371,output4,output7,0
2371,output5,output7,0
2371,output6,output7,0
2402,output1,output7,0
2402,output2,output7,1
2402,output3,output7,0
2402,output4,output7,0
2402,output5,output7,0
2402,output6,output7,0
2585,output1,output7,0
2585,output2,output7,2
2585,output3,output7,0
2585,output4,output7,2
2585,output5,output7,2
2585,output6,output7,1
2657,output1,output7,0
2657,output2,output7,0
2657,output3,output7,0
2657,output4,output7,0
2657,output5,output7,0
2657,output6,output7,0
2758,output1,output7,0
2758,output2,output7,0
2758,output3,output7,0
2758,output4,output7,1
2758,output5,output7,0
2758,output6,output7,0
2788,output1,output7,1
2788,output2,output7,0
2788,output3,output7,0
2788,output4,output7,1
2788,output5,output7,0
2788,output6,output7,0
2818,output1,output7,0
2818,output2,output7,0
2818,output3,output7,1
2818,output4,output7,1
2818,output5,output7,2
2818,output6,output7,0
2911,output1,output7,0
2911,output2,output7,0
2911,output3,output7,0
2911,output4,output7,0
2911,output5,output7,0
2911,output6,output7,0
2941,output1,output7,2
2941,output2,output7,0
2941,output3,output7,0
2941,output4,output7,2
2941,output5,output7,1
2941,output6,output7,0
2963,output1,output7,2
2963,output2,output7,0
2963,output3,output7,0
2963,output4,output7,0
2963,output5,output7,0
2963,output6,output7,0
2989,output1,output7,0
2989,output2,output7,0
2989,output3,output7,0
2989,output4,output7,0
2989,output5,output7,0
2989,output6,output7,0
3033,output1,output7,0
3033,output2,output7,0
3033,output3,output7,0
3033,output4,output7,0
3033,output5,output7,0
3033,output6,output7,0
3101,output1,output7,0
3101,output2,output7,0
3101,output3,output7,0
3101,output4,output7,0
3101,output5,output7,0
3101,output6,output7,0
3109,output1,output7,0
3109,output2,output7,0
3109,output3,output7,0
3109,output4,output7,0
3109,output5,output7,0
3109,output6,output7,0
3113,output1,output7,0
3113,output2,output7,2
3113,output3,output7,1
3113,output4,output7,0
3113,output5,output7,0
3113,output6,output7,0
3114,output1,output7,1
3114,output2,output7,1
3114,output3,output7,0
3114,output4,output7,1
3114,output5,output7,0
3114,output6,output7,1
3287,output1,output7,0
3287,output2,output7,0
3287,output3,output7,0
3287,output4,output7,0
3287,output5,output7,0
3287,output6,output7,0
3437,output1,output7,0
3437,output2,output7,0
3437,output3,output7,0
3437,output4,output7,0
3437,output5,output7,0
3437,output6,output7,0
3457,output1,output7,0
3457,output2,output7,0
3457,output3,output7,0
3457,output4,output7,0
3457,output5,output7,0
3457,output6,output7,0
3463,output1,output7,0
3463,output2,output7,0
3463,output3,output7,0
3463,output4,output7,0
3463,output5,output7,0
3463,output6,output7,0
3680,output1,output7,0
3680,output2,output7,2
3680,output3,output7,0
3680,output4,output7,0
3680,output5,output7,2
3680,output6,output7,0
3715,output1,output7,0
3715,output2,output7,0
3715,output3,output7,0
3715,output4,output7,0
3715,output5,output7,0
3715,output6,output7,2
3764,output1,output7,0
3764,output2,output7,0
3764,output3,output7,0
3764,output4,output7,0
3764,output5,output7,0
3764,output6,output7,0
3787,output1,output7,2
3787,output2,output7,0
3787,output3,output7,0
3787,output4,output7,0
3787,output5,output7,0
3787,output6,output7,0
4140,output1,output7,2
4140,output2,output7,2
4140,output3,output7,0
4140,output4,output7,2
4140,output5,output7,2
4140,output6,output7,0
4376,output1,output7,0
4376,output2,output7,0
4376,output3,output7,0
4376,output4,output7,0
4376,output5,output7,0
4376,output6,output7,0
4393,output1,output7,0
4393,output2,output7,0
4393,output3,output7,0
4393,output4,output7,0
4393,output5,output7,1
4393,output6,output7,0
4465,output1,output7,2
4465,output2,output7,1
4465,output3,output7,0
4465,output4,output7,0
4465,output5,output7,2
4465,output6,output7,0
4468,output1,output7,0
4468,output2,output7,2
4468,output3,output7,0
4468,output4,output7,0
4468,output5,output7,0
4468,output6,output7,0
4523,output1,output7,0
4523,output2,output7,0
4523,output3,output7,0
4523,output4,output7,0
4523,output5,output7,0
4523,output6,output7,0
4563,output1,output7,0
4563,output2,output7,1
4563,output3,output7,0
4563,output4,output7,0
4563,output5,output7,0
4563,output6,output7,0
4598,output1,output7,2
4598,output2,output7,0
4598,output3,output7,2
4598,output4,output7,2
4598,output5,output7,0
4598,output6,output7,0
4647,output1,output7,2
